player,team,success,life_satisfaction
Daniel Hamilton,Atlanta Hawks,0,12.1
Alex Poythress,Atlanta Hawks,0,13.49
Jaylen Adams,Atlanta Hawks,0,18.80400085
Miles Plumlee,Atlanta Hawks,0,18
PJ Dozier,Boston Celtics,0,12.22
Ed Davis,Brooklyn Nets,0,16
Dzanan Musa,Brooklyn Nets,0,15.2
Bismack Biyombo,Charlotte Hornets,0,10.38
Tyler Ulis,Chicago Bulls,0,7.83
Rawle Alkins,Chicago Bulls,0,8.03
Chandler Hutchison,Chicago Bulls,0,12.21
Patrick McCaw,Cleveland Cavaliers,0,6.93
John Holland,Cleveland Cavaliers,0,12.4
Ray Spalding,Dallas Mavericks,0,7.81
Nick Young,Denver Nuggets,0,8.1
Tyler Lydon,Denver Nuggets,0,15.2
DeVaughn Akoon-Purcell,Denver Nuggets,0,16.2
Thomas Welsh,Denver Nuggets,0,17.9
Andre Drummond,Detroit Pistons,0,9.34
Zach Lofton,Detroit Pistons,0,10.52
Kevon Looney,Golden State Warriors,0,13.32
Zhou Qi,Houston Rockets,0,7.42
James Nunnally,Houston Rockets,0,8.55
Michael Carter-Williams,Houston Rockets,0,7.32
Edmond Sumner,Indiana Pacers,0,9.25
Alize Johnson,Indiana Pacers,0,7.21
Davon Reed,Indiana Pacers,0,7.28
Tyrone Wallace,Los Angeles Clippers,0,20.33
Milos Teodosic,Los Angeles Clippers,0,18.9
Jerome Robinson,Los Angeles Clippers,0,21.5
Lonzo Ball,Los Angeles Lakers,0,8.31
Chandler Parsons,Memphis Grizzlies,0,16.8
Yuta Watanabe,Memphis Grizzlies,0,17.77
Andrew Harrison,Memphis Grizzlies,0,12.58
Joakim Noah,Memphis Grizzlies,0,10.4
Dion Waiters,Miami Heat,0,10.8
Duncan Robinson,Miami Heat,0,15.21
Hassan Whiteside,Miami Heat,0,16.9
Jaylen Morris,Milwaukee Bucks,0,7.78
Thon Maker,Milwaukee Bucks,0,8.91
Jerryd Bayless,Minnesota Timberwolves,0,7.82
C.J. Williams,Minnesota Timberwolves,0,21.8
Andrew Harrison,New Orleans Pelicans,0,9.12
Mitchell Robinson,New York Knicks,0,7.02
Steven Adams,Oklahoma City Thunder,0,8.52
Troy Caupain,Orlando Magic,0,8.51
Melvin Frazier Jr.,Orlando Magic,0,8.12
Markelle Fultz,Philadelphia 76ers,0,16.92
Jonah Bolden,Philadelphia 76ers,0,17.2
Ben Simmons,Philadelphia 76ers,0,17.92
Jawun Evans,Phoenix Suns,0,7.83
George King,Phoenix Suns,0,8.12
Gary Trent Jr.,Portland Trail Blazers,0,11.82
Skal Labissiere,Sacramento Kings,0,7.83
Harry Giles,Sacramento Kings,0,8.98
Willie Cauley-Stein,Sacramento Kings,0,14.62
Lonnie Walker IV,San Antonio Spurs,0,11.43
Patrick McCaw,Toronto Raptors,0,15.2
Ekpe Udoh,Utah Jazz,0,20.55
Tyler Cavanaugh,Utah Jazz,0,21
Thabo Sefolosha,Utah Jazz,0,19.93
Jordan McRae,Washington Wizards,0,13.9
Ron Baker,Washington Wizards,0,14.01
Austin Rivers,Washington Wizards,0,12.99
Tyler Dorsey,Atlanta Hawks,1,19
Alex Len,Atlanta Hawks,1,14.89
Semi Ojeleye,Boston Celtics,1,20.14
Robert Williams,Boston Celtics,1,18.4
Kenneth Faried,Brooklyn Nets,1,15.77
