student_id,school_id,language_pre,language_post,ses,verbal_iq,female,minority
17001,1,36,46,23,3.165937909925667,0,0
17002,1,36,45,10,2.665937909925667,0,1
17003,1,33,33,15,-2.334062090074333,0,0
17004,1,29,46,23,-0.8340620900743332,0,0
17005,1,19,20,10,-3.834062090074333,0,0
17006,1,22,30,10,-2.334062090074333,0,1
17007,1,20,30,23,-2.334062090074333,0,1
17008,1,44,57,10,1.1659379099256668,0,0
17009,1,34,36,13,-2.334062090074333,0,1
17010,1,31,36,15,-0.8340620900743332,0,1
17011,1,18,29,10,-6.334062090074333,1,1
17012,1,36,40,18,2.165937909925667,0,0
17013,1,31,41,15,-2.834062090074333,0,1
17014,1,34,47,20,-1.3340620900743332,0,1
17015,1,31,33,10,-1.8340620900743332,0,1
17016,1,32,37,20,-0.8340620900743332,0,0
17019,1,23,29,13,-5.334062090074333,1,0
17020,1,20,26,10,-7.834062090074333,1,1
17021,1,27,37,10,-0.8340620900743332,1,1
17022,1,31,40,15,-0.8340620900743332,1,1
17025,1,24,27,10,-0.8340620900743332,1,0
17026,1,35,43,13,0.6659379099256668,1,0
17027,1,32,39,10,-0.3340620900743332,1,1
17028,1,25,21,10,-1.8340620900743332,1,1
17029,1,33,42,10,-1.8340620900743332,1,1
27001,2,22,21,15,-0.3340620900743332,1,0
27002,2,33,27,15,-1.3340620900743332,0,0
27003,2,22,16,20,-3.834062090074333,0,0
27004,2,25,31,15,-4.334062090074333,1,0
27005,2,27,21,10,-4.334062090074333,0,1
27006,2,23,18,23,-5.334062090074333,1,0
27007,2,30,32,10,-0.3340620900743332,0,0
107201,10,26,28,15,-1.3340620900743332,0,0
107202,10,25,33,20,-1.3340620900743332,0,0
107203,10,31,38,20,0.6659379099256668,1,0
107204,10,20,14,10,-3.834062090074333,1,0
107206,10,30,39,33,-0.8340620900743332,1,0
127102,12,23,23,27,-2.334062090074333,0,0
127103,12,33,43,33,-1.3340620900743332,1,0
127104,12,18,25,33,-3.334062090074333,1,0
127105,12,25,24,28,-4.334062090074333,1,0
127106,12,37,41,37,-0.8340620900743332,1,0
127202,12,20,32,30,-1.3340620900743332,0,0
127204,12,28,26,20,-1.3340620900743332,0,0
127205,12,30,21,40,-2.334062090074333,0,0
127206,12,29,37,20,-1.8340620900743332,0,0
127207,12,23,30,17,-0.3340620900743332,1,0
127208,12,33,41,20,-2.334062090074333,1,0
127209,12,25,31,50,-2.834062090074333,1,0
127210,12,21,27,20,-3.834062090074333,1,0
127212,12,29,33,27,-4.334062090074333,1,0
127213,12,27,29,40,-3.334062090074333,1,0
157001,15,36,31,40,2.165937909925667,0,0
157002,15,18,18,20,-3.334062090074333,0,0
157003,15,30,37,40,1.1659379099256668,0,0
157006,15,35,22,25,-1.3340620900743332,1,0
157007,15,38,43,20,3.165937909925667,1,0
157008,15,15,9,30,-2.834062090074333,1,0
157009,15,36,41,30,-1.8340620900743332,0,0
157010,15,37,46,20,0.16593790992566682,0,0
167002,16,31,34,23,-0.8340620900743332,0,0
