stops,population,past_arrests,precinct,ethnicity,crime
75,1720,191,1,Black,Violent
37,1368,62,1,Hispanic,Violent
26,23854,135,1,White,Violent
36,1720,57,1,Black,Weapons
39,1368,27,1,Hispanic,Weapons
32,23854,16,1,White,Weapons
74,1720,599,1,Black,Property
23,1368,149,1,Hispanic,Property
10,23854,107,1,White,Property
17,1720,133,1,Black,Drug
3,1368,57,1,Hispanic,Drug
13,23854,123,1,White,Drug
73,2596,227,2,Black,Violent
77,6844,153,2,Hispanic,Violent
18,9379,102,2,White,Violent
37,2596,56,2,Black,Weapons
40,6844,64,2,Hispanic,Weapons
14,9379,23,2,White,Weapons
9,2596,246,2,Black,Property
16,6844,78,2,Hispanic,Property
9,9379,137,2,White,Property
13,2596,224,2,Black,Drug
11,6844,262,2,Hispanic,Drug
30,9379,169,2,White,Drug
293,2092,281,3,Black,Violent
131,3633,123,3,Hispanic,Violent
110,56304,205,3,White,Violent
245,2092,110,3,Black,Weapons
149,3633,35,3,Hispanic,Weapons
88,56304,39,3,White,Weapons
112,2092,384,3,Black,Property
99,3633,119,3,Hispanic,Property
116,56304,188,3,White,Property
102,2092,1413,3,Black,Drug
62,3633,350,3,Hispanic,Drug
96,56304,806,3,White,Drug
203,5699,93,4,Black,Violent
328,25489,212,4,Hispanic,Violent
26,13001,42,4,White,Violent
116,5699,33,4,Black,Weapons
324,25489,65,4,Hispanic,Weapons
27,13001,27,4,White,Weapons
24,5699,41,4,Black,Property
88,25489,59,4,Hispanic,Property
30,13001,17,4,White,Property
42,5699,304,4,Black,Drug
157,25489,560,4,Hispanic,Drug
46,13001,360,4,White,Drug
112,6265,256,5,Black,Violent
170,20971,328,5,Hispanic,Violent
88,34674,194,5,White,Violent
260,6265,96,5,Black,Weapons
377,20971,157,5,Hispanic,Weapons
66,34674,43,5,White,Weapons
63,6265,299,5,Black,Property
47,20971,171,5,Hispanic,Property
35,34674,400,5,White,Property
82,6265,1068,5,Black,Drug
218,20971,1259,5,Hispanic,Drug
82,34674,1087,5,White,Drug
182,2105,225,6,Black,Violent
90,6110,167,6,Hispanic,Violent
37,15152,134,6,White,Violent
178,2105,75,6,Black,Weapons
125,6110,73,6,Hispanic,Weapons
54,15152,35,6,White,Weapons
87,2105,201,6,Black,Property
78,6110,117,6,Hispanic,Property
48,15152,89,6,White,Property
188,2105,307,6,Black,Drug
152,6110,214,6,Hispanic,Drug
78,15152,130,6,White,Drug
143,6054,240,7,Black,Violent
34,9075,134,7,Hispanic,Violent
48,71036,174,7,White,Violent
70,6054,74,7,Black,Weapons
61,9075,45,7,Hispanic,Weapons
46,71036,67,7,White,Weapons
35,6054,543,7,Black,Property
28,9075,264,7,Hispanic,Property
30,71036,210,7,White,Property
53,6054,189,7,Black,Drug
38,9075,127,7,Hispanic,Drug
63,71036,233,7,White,Drug
294,3060,586,8,Black,Violent
143,5168,345,8,Hispanic,Violent
38,16222,218,8,White,Violent
452,3060,215,8,Black,Weapons
192,5168,168,8,Hispanic,Weapons
98,16222,66,8,White,Weapons
74,3060,2270,8,Black,Property
62,5168,1393,8,Hispanic,Property
53,16222,660,8,White,Property
105,3060,2596,8,Black,Drug
38,5168,644,8,Hispanic,Drug
23,16222,547,8,White,Drug
37,1747,86,9,Black,Violent
49,3919,83,9,Hispanic,Violent
10,62949,106,9,White,Violent
58,1747,42,9,Black,Weapons
25,3919,25,9,Hispanic,Weapons
26,62949,31,9,White,Weapons
34,1747,120,9,Black,Property
9,3919,67,9,Hispanic,Property
8,62949,75,9,White,Property
15,1747,72,9,Black,Drug
8,3919,37,9,Hispanic,Drug
6,62949,35,9,White,Drug
233,3104,312,10,Black,Violent
124,8307,212,10,Hispanic,Violent
60,28617,193,10,White,Violent
206,3104,98,10,Black,Weapons
228,8307,66,10,Hispanic,Weapons
53,28617,47,10,White,Weapons
75,3104,543,10,Black,Property
58,8307,320,10,Hispanic,Property
22,28617,332,10,White,Property
46,3104,514,10,Black,Drug
43,8307,365,10,Hispanic,Drug
8,28617,317,10,White,Drug
261,6613,212,11,Black,Violent
129,11310,166,11,Hispanic,Violent
57,184345,348,11,White,Violent
77,6613,53,11,Black,Weapons
44,11310,61,11,Hispanic,Weapons
12,184345,62,11,White,Weapons
44,6613,390,11,Black,Property
44,11310,230,11,Hispanic,Property
136,184345,239,11,White,Property
5,6613,84,11,Black,Drug
22,11310,48,11,Hispanic,Drug
7,184345,81,11,White,Drug
230,5209,168,12,Black,Violent
85,9158,84,12,Hispanic,Violent
25,79761,89,12,White,Violent
58,5209,30,12,Black,Weapons
36,9158,31,12,Hispanic,Weapons
